Matches,RecursiveCalls,TotalTime,SearchTime
20,19,0.220333,0.003208
28,2,0.191249,0.001375
92,2,0.217124,0.001541
60,2,0.277665,0.001416
20,5,0.154833,0.001958
24,2,0.161168,0.003917
20,3,0.058667,0.002042
20,2,0.211499,0.001708
26,2,0.106001,0.001292
34,2,0.203249,0.005875
11,14,0.216959,0.00275
17,14,0.072126,0.003625
28,2,0.254498,0.001333
20,5,0.275375,0.001792
1,4,0.192749,0.001
696,2,0.270208,0.001375
31,3,0.225833,0.002291
48,2,0.155167,0.001375
116,2,0.201083,0.001375
3,2,0.171209,0.001709
20,7,0.120125,0.001875
20,12,0.395958,0.003208
34,2,0.157084,0.001458
26,3,0.5315,0.001709
14,3,0.215542,0.002
304,2,0.216749,0.002166
20,8,0.217792,0.001833
288,2,0.2135,0.001125
665,2,0.379167,0.001417
44,3,0.213083,0.002458
20,11,0.108332,0.0025
546,2,0.235041,0.0015
20,2,0.184917,0.001
735,2,0.124999,0.001125
20,6,0.184168,0.001667
20,8,0.15525,0.00175
20,11,0.18575,0.002292
20,2,0.072667,0.00175
20,8,0.192166,0.001958
85,2,0.293083,0.003417
3,10,0.198751,0.002541
36,4,0.059668,0.001834
10,14,0.228082,0.002708
25,4,0.130417,0.002625
25,3,0.329959,0.001709
20,2,0.160083,0.001958
20,5,0.212332,0.001625
90,2,0.179375,0.002625
24,2,0.182543,0.000959
20,17,0.240042,0.003416
99,2,0.074708,0.001125
6,23,0.171624,0.005875
32,2,0.152415,0.000958
20,50,0.233082,0.014542
240,2,0.115917,0.001583
261,2,0.34346,0.002125
20,31,0.173082,0.0065
20,12,0.092459,0.0025
522,2,0.363625,0.001708
20,5,0.427001,0.002125
24,3,0.218374,0.00225
20,6,0.243917,0.001917
38,3,0.209374,0.002041
20,5,0.242084,0.001959
20,13,0.198375,0.0025
665,2,0.292458,0.00125
27,4,0.206625,0.001916
20,2,0.223249,0.002166
24,2,0.242375,0.004458
1120,2,0.154415,0.001125
22,2,0.160542,0.00125
20,25,0.279666,0.004167
50,2,0.11575,0.001541
34,2,0.267626,0.002917
20,12,0.274041,0.002708
20,18,0.258707,0.003958
10,19,0.235792,0.002792
900,2,0.181834,0.001417
20,17,0.233957,0.004333
624,2,0.180249,0.001292
57,2,0.071791,0.001833
20,6,0.30175,0.002042
105,2,0.181083,0.000833
630,2,0.267499,0.001291
18,8,0.083251,0.002625
36,3,0.29675,0.002042
270,2,0.284625,0.001417
20,5,0.438377,0.002042
140,2,0.311125,0.001291
216,2,0.251166,0.001208
5,2,0.142709,0.001458
20,5,0.199209,0.001792
20,7,0.317707,0.002083
360,2,0.193,0.001292
8,5,0.0535,0.001291
117,2,0.261543,0.001209
462,2,0.209625,0.001
256,2,0.180708,0.001041
20,16,0.295376,0.0035
240,2,0.344791,0.002625
20,7,0.237626,0.002125
20,30,0.351832,0.007833
15,20,0.089459,0.002875
153,2,0.240751,0.001209
30,2,0.17925,0.00425
315,2,0.3105,0.001
24,14,0.377333,0.006125
2,8,0.204834,0.00225
20,14,0.167918,0.003708
20,22,0.592916,0.011084
20,43,0.432625,0.017083
38,14,0.234,0.003875
20,7,0.2045,0.003125
8,16,0.199918,0.004709
26,8,0.76725,0.006125
4,7,0.221625,0.002583
20,156,0.255792,0.036208
1,8,0.196957,0.002375
27,10,0.331834,0.005542
24,91,0.649501,0.046042
20,129,0.476126,0.040083
20,19,0.241291,0.00225
20,34,0.434708,0.009
20,10,0.237876,0.002542
20,58,0.429459,0.020916
21,93,0.553834,0.034
20,37,0.820375,0.019125
20,19,0.116791,0.003667
